element_type,has_alt,has_label,has_aria,contrast_ratio,is_interactive,issue_severity
textarea,0,1,1,17.590448305767495,1,minor
a,0,1,0,20.50137845197434,1,moderate
div,1,0,0,18.469463421120086,0,minor
textarea,1,1,1,5.542994935426538,1,minor
button,0,0,1,1.1606372775124587,0,critical
div,1,0,0,10.841634107768302,0,minor
div,0,0,1,11.627216633905336,0,minor
textarea,1,0,1,5.0250072910233925,1,serious
input,0,1,1,6.693487838936353,1,minor
button,1,0,0,16.303063216970937,0,minor
textarea,0,1,0,10.406945174262676,0,minor
button,0,1,1,7.347081672005133,1,minor
button,1,0,0,13.452520547238388,0,minor
div,1,0,1,14.055195119522507,0,minor
a,0,0,1,16.387915536816045,1,minor
button,1,0,0,4.134185915258383,1,moderate
select,0,1,0,15.830345046539806,1,moderate
div,1,0,0,12.98856784220837,0,minor
input,1,1,1,2.1514373060559424,1,critical
a,0,0,1,16.54891256506822,1,minor
select,1,0,0,8.6616056266637,1,serious
select,1,0,0,7.607618686592751,1,serious
input,0,0,0,9.961503031632688,1,serious
a,1,1,1,7.923501546122582,1,minor
div,0,1,1,7.765711844198181,1,minor
img,0,0,1,17.16155335401251,0,serious
a,0,1,0,3.4901050873138453,1,moderate
input,0,1,0,20.412001357149173,0,minor
select,0,0,1,12.098632887486865,0,serious
div,1,0,0,4.658479968426258,1,moderate
a,0,1,0,3.62430965863373,0,moderate
img,0,1,0,12.830190642699652,1,serious
img,1,1,0,13.65998887693856,0,minor
button,1,1,1,2.0605154205962153,1,critical
button,1,0,0,5.860038282575716,0,minor
textarea,0,0,1,16.909238424429347,1,serious
input,0,1,1,1.99249255487051,1,critical
a,0,0,0,18.10177327812072,0,minor
a,1,1,1,14.16324953052667,0,minor
textarea,0,1,1,9.688465187264097,1,minor
select,1,0,0,7.928656979418317,0,serious
select,0,1,1,1.3849792769778793,1,critical
textarea,1,1,1,17.504298915036863,0,minor
select,0,0,1,3.854437079370762,1,serious
button,0,0,1,7.190839837241762,0,minor
a,0,1,1,12.382139607256077,1,minor
textarea,1,1,1,5.919852001425085,0,minor
a,1,0,1,10.942809275044027,1,minor
img,0,1,1,17.186856574774048,0,serious
button,0,1,0,10.410758695805496,1,moderate
div,0,0,0,19.97954688239192,0,minor
button,1,0,0,17.950012407526835,0,minor
textarea,0,0,1,7.660784707267884,1,serious
div,0,0,1,8.999242491678755,0,minor
img,0,0,1,9.466534540450542,0,serious
