critical_issues,serious_issues,moderate_issues,minor_issues,total_elements,wcag_level,compliance_score
6,44,7,53,182,1,38.73626373626373
19,31,7,83,986,2,86.51115618661258
14,47,83,24,857,2,77.42123687281213
10,21,46,66,83,2,0.0
7,3,3,45,941,1,95.32412327311371
6,4,50,21,257,2,69.45525291828794
18,36,84,138,862,2,71.80974477958236
10,40,66,7,248,1,39.71774193548387
10,48,44,38,641,2,75.81903276131045
3,12,7,48,632,1,91.29746835443038
7,33,86,45,204,1,15.686274509803923
2,44,15,37,639,0,83.80281690140845
1,21,76,135,127,0,0.0
11,22,66,53,221,1,33.2579185520362
5,2,8,91,338,1,80.32544378698225
1,41,59,39,594,0,76.0942760942761
0,33,77,33,861,2,83.39140534262485
11,31,76,95,837,2,77.06093189964157
11,44,70,78,928,2,78.77155172413794
16,48,14,126,469,1,61.40724946695096
9,20,70,16,56,0,0.0
15,45,97,109,209,2,0.0
14,43,40,51,289,0,45.32871972318338
14,20,21,117,472,0,70.86864406779661
18,43,23,8,585,1,78.2051282051282
11,10,43,32,775,2,87.61290322580645
19,38,0,112,119,0,0.0
2,3,9,148,929,1,90.15069967707213
4,0,79,84,265,1,51.320754716981135
18,27,71,9,153,1,0.6535947712418277
6,23,55,5,776,2,86.5979381443299
8,34,88,114,103,2,0.0
6,12,49,120,855,1,83.74269005847952
17,46,11,140,379,2,51.45118733509235
3,33,88,64,897,2,80.43478260869566
13,10,80,19,252,0,48.21428571428571
17,35,59,56,337,1,48.51632047477745
8,16,25,45,94,1,6.914893617021278
1,34,77,135,878,2,77.50569476082005
19,17,40,9,247,1,56.2753036437247
14,39,35,112,265,1,33.01886792452831
6,21,22,138,530,1,74.62264150943396
11,23,42,11,358,2,70.94972067039106
7,18,5,137,945,2,87.88359788359789
14,36,68,10,484,2,67.97520661157026
2,38,42,117,381,0,57.61154855643045
13,20,24,38,745,1,86.71140939597315
16,7,17,52,76,0,0.0
3,27,61,55,215,2,37.2093023255814
17,4,12,103,367,0,71.7983651226158
7,16,42,128,323,1,55.41795665634675
3,36,77,55,432,1,61.9212962962963
1,35,27,117,414,2,66.18357487922705
5,18,17,131,152,2,21.381578947368425
9,26,58,29,552,0,76.53985507246377
3,33,59,11,894,2,86.57718120805369
17,10,62,34,422,0,69.66824644549763
11,44,56,76,665,1,72.63157894736841
1,46,91,101,975,1,78.2051282051282
9,11,50,86,294,1,56.63265306122449
3,20,55,51,866,1,86.54734411085451
13,10,26,79,218,1,51.146788990825684
15,38,31,134,677,0,72.67355982274742
14,27,8,21,702,1,87.6068376068376
7,4,95,74,467,0,67.45182012847965
13,16,83,57,405,1,60.123456790123456
7,19,91,92,527,0,65.9392789373814
15,40,96,102,174,0,0.0
12,45,67,139,586,0,61.092150170648466
17,11,45,6,755,2,86.95364238410596
14,5,97,127,945,0,79.25925925925927
12,16,66,54,661,0,78.66868381240545
8,18,25,105,451,1,73.28159645232816
14,25,7,61,566,0,81.80212014134275
12,47,5,89,580,0,75.17241379310344
0,43,79,97,731,2,73.73461012311901
6,43,23,76,835,1,83.53293413173652
8,31,47,118,303,2,44.38943894389439
0,5,93,35,170,2,30.588235294117652
11,35,44,88,81,2,0.0
7,37,12,144,710,0,78.38028169014085
10,10,68,129,827,2,79.74607013301087
18,32,24,140,86,2,0.0
16,23,19,92,738,1,82.18157181571816
7,22,81,113,391,1,52.81329923273657
2,14,81,27,62,1,0.0
2,26,65,142,232,1,22.84482758620689
0,10,73,32,706,2,85.26912181303116
4,49,44,19,314,1,57.00636942675159
9,16,46,139,137,0,0.0
6,13,62,100,989,2,85.49039433771486
8,26,75,22,511,1,72.40704500978474
6,17,76,111,95,2,0.0
8,27,54,13,441,1,73.46938775510205
7,46,74,90,168,2,0.0
11,46,18,76,982,1,85.03054989816701
1,3,34,84,580,0,85.77586206896552
0,6,52,108,496,1,76.81451612903226
15,44,25,30,781,2,82.58642765685019
4,34,13,121,991,2,86.62966700302724
2,47,44,106,794,0,78.40050377833754
11,8,43,53,655,2,84.19847328244275
7,7,87,132,812,0,78.14039408866995
2,44,64,140,811,2,74.845869297164
0,16,50,42,843,2,88.73072360616845
2,16,42,88,793,0,85.62421185372006
4,48,85,114,95,2,0.0
14,32,22,98,935,2,84.27807486631016
13,31,55,46,557,0,72.9802513464991
2,7,18,70,607,1,88.87973640856671
0,18,81,66,575,0,75.47826086956522
4,37,75,61,646,2,73.83900928792569
13,2,54,108,880,1,84.43181818181819
6,4,91,36,889,1,85.71428571428572
8,12,91,118,52,1,0.0
14,46,59,85,77,0,0.0
14,45,58,125,430,1,49.76744186046511
9,30,32,135,206,1,21.11650485436894
12,15,18,51,904,1,90.04424778761062
18,49,27,90,963,2,81.15264797507788
6,31,51,32,980,0,87.1938775510204
16,21,48,80,560,0,72.94642857142857
19,28,36,41,382,2,64.26701570680629
3,21,25,111,893,1,86.78611422172452
4,42,98,125,736,2,68.5461956521739
6,2,97,135,163,2,0.0
12,9,98,105,438,1,57.077625570776256
14,41,39,124,536,1,64.4589552238806
10,20,79,112,892,0,79.26008968609865
3,15,37,63,299,1,67.55852842809364
12,11,76,122,620,2,71.37096774193549
6,1,86,113,764,2,79.58115183246073
18,40,53,19,364,1,56.456043956043956
1,23,21,15,288,0,77.43055555555556
9,34,15,144,283,2,44.87632508833922
12,29,27,18,352,1,70.5965909090909
5,29,34,119,656,0,77.59146341463415
11,46,59,135,702,0,69.01709401709402
11,34,44,37,383,2,64.62140992167102
19,18,45,92,162,2,3.7037037037037095
10,49,71,104,670,0,67.68656716417911
6,7,54,99,411,0,69.34306569343066
0,25,85,89,906,0,81.56732891832229
0,48,84,43,850,1,79.11764705882354
19,39,25,75,146,2,0.0
12,6,84,144,896,0,78.90625
8,29,24,78,65,2,0.0
2,6,64,72,605,2,81.32231404958678
6,2,5,139,425,2,78.94117647058823
5,0,22,95,791,0,89.94943109987358
7,35,63,88,439,1,60.478359908883824
8,24,86,102,669,0,71.74887892376682
4,36,42,145,266,2,33.64661654135338
0,0,22,5,448,0,94.53125
18,14,95,121,309,0,31.22977346278317
9,36,29,115,873,2,81.84421534936999
11,12,76,61,369,2,60.298102981029814
14,39,17,143,245,0,28.57142857142857
8,7,86,135,527,0,65.84440227703985
19,4,78,88,467,0,64.45396145610277
16,8,96,95,524,0,64.2175572519084
16,0,20,125,656,1,82.54573170731707
19,35,56,89,617,0,69.04376012965965
11,34,22,85,593,1,76.81281618887016
6,1,90,137,280,2,38.57142857142857
1,39,44,120,933,1,82.36870310825294
2,22,43,75,570,2,79.3859649122807
16,8,81,91,752,1,77.32712765957447
4,33,87,69,922,2,80.58568329718004
16,45,46,147,249,0,12.048192771084345
16,13,39,132,895,1,82.51396648044692
16,3,50,22,722,1,86.49584487534626
1,29,41,136,648,2,76.1574074074074
1,30,6,57,70,2,0.0
4,37,49,45,360,1,62.5
